,source_id,bp_rp,phot_g_mean_mag,parallax,teff_val,lum_val
2283,5.824056025134437e+18,0.7777271,9.834084,6.881483503736613,5880.95,1.8212391
2284,5.433176789567524e+18,0.68010855,7.512688000000002,9.200587418358412,6523.3335,8.514078
2285,3.2895694354528307e+18,0.18558884,6.999612299999999,8.112351759494652,9189.0,
2286,5.819771537543697e+18,-0.025753975,8.747375,1.1343899128776476,9708.667,
2287,5.336112796481444e+18,2.839118,15.237776,16.456131105091742,3788.0273,
2288,1.8318277410043505e+18,0.5713997,11.733421,0.9028451800133444,6824.1,18.143232
2289,1.8317232229835543e+18,0.47822762,11.499312,0.8077571651712501,7543.75,28.723143
2290,5.203252071930758e+18,0.7727089,9.002182000000003,4.4365847458385375,5829.775,9.452724
2291,5.217435290893404e+18,0.6976185,9.884868,5.806977136110951,5966.6665,2.431283
2292,3.264551422750608e+18,0.55595493,8.742169,7.018993347301228,6486.217,4.7151494000000005
2293,5.38513414438866e+18,0.7493124,9.389246,5.526424302518473,5901.5,4.249568
2294,5.224818610255526e+18,0.38917065,9.865222,1.1710161641767662,7528.0,61.50871
2295,3.077483709857256e+18,0.48037243,9.295516,1.554135760020482,7019.25,57.992294
2296,2.8815645160422733e+18,0.7736788,10.323055,2.529448694242669,5844.0,8.608311
2297,2.8822360384737126e+18,0.37082672,8.457075999999999,4.906390019022294,7490.0,12.792346
2298,2.2204641832709046e+18,0.46769905,9.920578,1.5571142287762203,7130.393,32.564834999999995
2299,2.2112806455407708e+18,1.2907143,12.54211,4.18327239488312,4746.61,0.4821612
2300,6.633211164836379e+18,0.37704754,8.909157,4.3544079246084175,7354.25,10.645857
2301,9.554178801783066e+16,0.5194864,8.360055000000001,7.119723908856346,7021.0,6.540649
2302,1.0446118139070776e+18,0.67407036,9.809012,6.758687191875403,6188.59,1.9112841
2303,1.0179450491603456e+18,0.64107895,11.494535,2.8695793181854015,6436.0,2.2366765
2304,9.338101058693638e+17,0.8430433,10.185733,7.248162116338157,5699.45,1.2004529
2305,1.6446920645431926e+18,0.7894392,10.182008,7.891235476165162,5787.0,1.010428
2306,1.6407080228157576e+18,0.44655943,7.3766975000000015,6.0083593404583215,7082.25,22.747524
2307,1.3520171230909844e+18,0.79615307,10.675825,3.6161459230646806,5785.5,3.053627
2308,5.35031082445639e+18,0.5116329000000001,9.431938,0.3686559211581669,7284.5,915.3264
2309,1.1486119730779854e+18,1.3660498,12.893638,2.9705018084035104,4892.5,0.6647039
2310,4.033312635583498e+18,0.6612978,9.085141,5.783826347301147,6331.9136,5.0704400000000005
2311,1.0247622274107633e+18,0.34524536,10.149852,2.0232413279049792,7716.6665,16.040459
2312,1.1520828564093078e+18,0.87253857,11.027001,3.298682630522185,5644.2,2.6817248
2313,1.1508945892812658e+18,0.7439213000000001,9.379087,3.0796987816993213,5943.3335,13.78661
2314,4.594504190739521e+18,0.8956603999999999,12.202657,2.4158791494791467,5476.0,1.7194929
2315,4.5960100105711913e+18,0.6037425999999999,10.719445,3.116878088398386,6503.0,3.86955
2316,6.216789209038084e+18,2.01445,15.30195,3.1722434493647182,3968.625,0.09533404
2317,5.7334924177347635e+17,1.2314749,12.967907,2.7245477463620085,4964.6665,0.72535396
2318,5.0972571237868e+18,1.0014629000000002,9.86309,2.8100722391206863,5286.6665,11.223325
2319,5.259722027066095e+18,0.85900974,11.813854,0.5524268108863729,5733.4,46.02404
2320,5.175701024954508e+18,0.6700096,11.206221,1.5581080206202678,6345.0,9.903175
2321,2.9843060092789673e+18,0.67751694,9.524683,2.9770571255803087,6145.0,12.813514
2322,6.43936771153609e+18,0.22949648,7.361024,6.866281135591211,8308.0,
2323,9.721603842522575e+17,0.8979043999999999,11.357355,3.9490081371798778,5420.0,1.4105625
2324,2.1952236225440814e+18,1.2274493999999998,13.306353,2.8049524987601178,4874.0,0.5121226
2325,5.666169320763679e+17,0.98655796,11.423162,4.611607227947271,5464.6665,0.9686571
2326,5.666487835538035e+17,1.4054842,13.8207035,4.096404223088396,4469.65,0.17084788
2327,5.630059297331364e+17,1.8031979,8.978745,1.7965785518117214,4015.625,97.783516
2328,5.5993032083242496e+17,3.3651376,6.74039,2.2573850770318744,3301.3333,825.362
2329,5.349718836239575e+17,0.98406506,11.938744,2.2690620203717584,5348.0,2.5232822999999995
2330,1.9626147565039421e+18,-0.0105986595,6.702951,3.7197176441950575,9777.0,
2331,1.1071102538544358e+18,0.80938053,11.013785,3.335518944315745,5875.1504,2.616068
2332,3.302674789422476e+18,0.79226494,9.487164,3.449327592566344,5984.325,9.932094
